,tfidf
aafco,10.016570928769669
aback,9.73981792685008
abandoned,9.606286534225557
abc,10.091794350007257
abdominal,9.550197067574512
ability,7.459455970640744
able,4.55507542975603
abroad,9.471553940255399
absence,9.163081098134544
absent,9.352837633416017
absolute,6.615373547107514
absolutely,4.635738995721933
absolutley,9.819860634523616
absolutly,9.352837633416017
absorb,7.405861954158666
absorbed,7.919175583473238
absorbing,9.707382651096925
absorption,9.10901387686427
absurd,9.175503618133103
abundance,8.84800005149465
abundant,8.598188253098279
abuse,9.750867763036664
abused,9.881229580899907
acacia,10.22532574263178
academy,9.080193438328777
acai,7.649447314638053
acana,10.173139989461209
accent,8.682332929605831
accept,7.734484357323965
acceptable,7.039120700053128
accepted,8.134785307883895
acces,7.674207864318705
accessible,9.169273068382466
accident,7.516085773393981
accidentally,7.829055165560411
accidently,9.479992808901264
accommodate,9.665709954696357
accompanied,9.523289614654589
accompaniment,8.830142434094643
accompany,9.233397596552004
accompanying,9.728888856317889
accomplish,9.080193438328777
accomplished,9.615948445137294
according,6.318674281005545
accordingly,8.619465651545564
account,7.448282670042619
accuracy,9.974011314350873
accurate,7.595237082999281
accurately,9.008930418307287
accustomed,7.81132706226683
ace,9.960217992218539
acerola,9.463185690584883
acesulfame,9.138689645010386
acetate,9.987997556325613
ache,7.97591541212499
achieve,8.182251845122819
achieved,9.207252316447683
acid,5.887568257333407
acidic,6.7079338879983785
acidity,7.391062529712727
acidophilu,9.843958186102675
acknowledge,9.625704620082658
acne,8.442534943386486
acquire,8.84800005149465
acquired,7.530457278231634
acre,9.390865029005257
acrid,9.330696507538804
acros,5.963652408201866
act,7.1391653168707725
acted,9.406490346908338
acting,8.442534943386486
action,7.845448975336088
active,6.837310097671689
actively,9.309035010757624
activitie,8.889385267657504
activity,7.8604367663015795
actor,9.843958186102675
actual,5.921501991289527
actuality,9.843958186102675
actually,4.148134125045681
acv,10.40052983165687
adagio,9.635556916525669
adam,9.488503498569173
adapt,9.454886887770188
adapted,9.79633013711342
adapter,9.645507247378838
add,3.863838234065565
added,4.4739442891763
addendum,9.784769314712346
addict,7.361086125012463
addicted,6.152642677190858
addicting,7.2171709490792315
addiction,7.664505778512254
addictive,6.410758073354347
adding,5.323363322306333
addition,5.5178891083938115
additional,6.414702851645363
additionally,7.781427116571156
additive,6.363093401706649
addres,7.735964742494399
addresse,9.919944093080598
addressed,9.488503498569173
adequate,7.644027247168713
adequately,9.323423748209724
adhd,9.906872011513245
adhere,9.360328305145176
adhesive,9.868650798693047
adjust,7.250342973091699
adjusted,8.448559057989865
adjusting,9.008930418307287
adjustment,8.729216515504682
administer,9.655557583232339
administration,9.253465159602813
admit,6.118852648359733
admitted,9.323423748209724
admittedly,8.217591211568127
adobo,10.156332871144828
adopted,7.254911277062079
adopting,9.893968606677337
adorable,8.378559643891514
adore,7.1774077159072185
adored,9.718077940213673
adult,5.835738475989448
adulterated,9.881229580899907
advance,8.321088289977034
advanced,8.821331804412488
advantage,7.231380779651885
adventure,8.63754932697886
adventurou,8.670947607380707
adverse,8.56370207702711
adversely,9.85622827869449
advertise,7.949891638703685
advertised,6.346711799334764
advertisement,8.361799475034047
advertising,7.405861954158666
advertized,9.200821426117392
advice,7.104692965652541
advise,7.62131417992948
advised,7.948058457622024
advocate,9.587238339254862
aerator,9.843958186102675
aero,9.831836825570331
aerobie,10.422036036877834
aerogarden,8.875399025682764
aerogrow,10.299433714785502
aeropres,9.383142982911346
aesthetic,9.773340618888723
affair,9.367875510780559
affect,7.068325321481667
affected,8.189220514438912
affecting,9.163081098134544
affiliated,9.79633013711342
afford,6.913089689828333
affordable,6.492771225015182
afghanistan,8.361799475034047
aficionado,8.64487536707093
aforementioned,9.0745277007931
afraid,6.809357043649312
africa,8.418794956083413
african,8.056272042262258
afterall,9.819860634523616
afterlife,9.974011314350873
afternoon,5.857914320328868
aftertaste,5.201092840270141
afterward,6.983850085846338
agar,10.489477317673366
agave,6.914391773345631
age,6.186670086270268
aged,7.868861415960831
agency,9.906872011513245
agent,8.012352808327421
aggressive,8.20330525432065
agility,9.360328305145176
aging,8.281969873381563
ago,4.723848897097296
agree,5.737291480293646
agreeable,9.750867763036664
agreed,7.516085773393981
agreement,9.808026176876613
ahead,6.6067154843644
ahhh,9.906872011513245
ahmad,8.982819274303601
ahoy,7.99300984548429
aid,6.822938592834036
ailment,9.194431628018622
aim,9.843958186102675
aimed,9.919944093080598
air,6.017174293132935
airbrush,10.173139989461209
airline,9.352837633416017
airplane,9.057720582476719
airport,8.46378005200022
airtight,7.804957613981351
airy,8.0026345588585
aisle,7.9462286309449475
aka,7.938942624214015
akin,8.530365656759518
akita,9.559329551137786
ala,7.6924796305546606
alabama,9.819860634523616
alarm,9.41439552641545
alarmed,9.933189319830618
alarming,9.808026176876613
alaska,8.482356437573156
alaskan,9.338022547630876
alba,9.532178562071834
albacore,9.309035010757624
albanese,10.00218219131757
albeit,8.10007466492065
albertson,9.422363696064627
alcohol,6.945489217973892
alcoholic,8.567097666028246
aldi,10.19023442282051
ale,7.801788039220072
alec,9.226796912520653
alergie,10.076290163471292
alert,7.721258595104704
alertnes,9.046670746290134
alessi,10.016570928769669
alfalfa,8.686157026044235
alfredo,8.782617292231798
algae,9.707382651096925
ali,9.893968606677337
alike,8.329099013723113
alimentum,9.960217992218539
alittle,8.765880499876275
alive,7.903288223710919
alkali,9.718077940213673
alkaline,8.442534943386486
allergen,8.016266707648558
allergenic,9.831836825570331
allergic,6.1813350665552935
allergie,5.836846754945845
allergy,6.439919316837572
alleviate,9.024930759653728
alley,8.982819274303601
allot,9.287832803107023
allotment,9.881229580899907
allow,6.038923035991732
allowance,8.44554246445044
allowed,7.075953123530552
allowing,7.889374955793934
allspice,9.446656388633672
almond,5.09236746948513
almondsalmond,9.309035010757624
almost,4.220425080039304
aloe,8.433566273403724
aloha,9.577848598905023
alone,5.870220765524163
along,5.245517912330784
alongside,9.063291627526175
alot,6.296656346088891
alpha,9.309035010757624
alpo,10.016570928769669
already,5.213381781404491
alright,7.6924796305546606
also,3.0531067562039946
alter,8.648558612487228
altered,9.12671345396367
altering,9.933189319830618
alternate,7.865483034369204
alternating,8.770038510024937
alternative,5.02653278041435
altho,9.718077940213673
although,4.73683085359208
altitude,9.479992808901264
altogether,8.089470111671853
altoid,8.259212886258947
alton,9.635556916525669
altura,9.497087242260564
aluminum,8.083160942478589
alvita,8.721248345855507
alway,3.8578126378706807
alzheimer,9.514478984972433
amaranth,8.741289096738953
amaretto,9.220239511974494
amateur,9.784769314712346
amaze,9.635556916525669
amazed,6.713780303800759
amazement,9.398647169447312
amazing,4.832835206066493
amazingly,7.203160212009633
amazon,3.0531615875291442
amber,8.451584778906403
ambrosia,9.559329551137786
america,7.116583712174063
american,6.071477634943843
americano,8.778406759695454
americolor,9.497087242260564
amino,8.234520273668576
amish,9.01423547053698
ammonia,9.974011314350873
among,6.549477252509482
amongst,8.66718112458523
amoretti,9.79633013711342
amount,4.283182750856509
amp,9.868650798693047
ample,8.962410402672393
amused,9.750867763036664
amusing,9.773340618888723
amy,7.994927391613562
anal,9.808026176876613
analysi,8.208044599684548
anchovie,8.947372525307852
anchovy,9.330696507538804
ancient,8.415866696304324
ande,10.00218219131757
andy,10.139803569193617
anecdotal,9.893968606677337
angel,8.289672093743656
angele,9.233397596552004
angelina,10.00218219131757
angle,8.942409735965725
angostura,10.280385519814807
angry,8.741289096738953
animal,6.004768168592836
anise,8.0026345588585
ann,9.784769314712346
anna,9.946612340162758
annatto,9.881229580899907
annette,9.85622827869449
annie,7.577379465599275
anniversary,8.982819274303601
announced,9.933189319830618
annoy,9.933189319830618
annoyance,9.577848598905023
annoyed,8.957372608642437
annoying,7.5761160415525035
annual,8.952360066818892
another,4.156404245624717
answer,6.907898244035083
answered,8.737248687201948
ant,8.670947607380707
antacid,10.00218219131757
anti,7.084411459233291
antibacterial,9.541147232054595
antibiotic,7.879065586135073
anticipate,9.330696507538804
anticipated,8.13921009386425
anticipating,9.645507247378838
anticipation,8.834577031162508
antioxidant,6.780453297466963
antioxident,9.645507247378838
antler,8.56370207702711
antonio,10.091794350007257
anxiety,7.937129387089834
anxiou,7.981581149660667
anxiously,9.479992808901264
anybody,7.734484357323965
anyhow,8.189220514438912
anymore,5.571365392474257
anyone,4.806293135608248
anything,4.25133439518728
anytime,6.71912505195964
anyway,5.301312291013963
anywhere,5.651535659303524
apart,6.3136599438514756
apartment,8.241864247924333
apiece,9.309035010757624
apo,9.541147232054595
apologize,9.220239511974494
apologized,9.606286534225557
apology,9.514478984972433
appalled,9.438493077994512
apparent,8.119450943883788
apparently,6.379747836611786
appeal,7.075953123530552
appealed,9.497087242260564
appealing,6.88423228503933
appear,6.170749662608654
appearance,7.430661068692799
appeared,7.678394890672921
appearing,9.919944093080598
appetit,9.523289614654589
appetite,7.0215635555736275
appetizer,8.287098089748483
appetizing,7.922740649637734
applaud,9.750867763036664
apple,5.273657219156516
applesauce,7.966543272296127
appletini,8.993182061339148
appliance,9.316203500236238
application,7.981581149660667
applie,8.962410402672393
applied,8.18689222467932
apply,7.711091477749259
applying,8.670947607380707
appointment,9.686329241899093
appreciate,6.112404794836744
appreciated,7.287487447496692
appreciation,8.947372525307852
appreciative,9.906872011513245
apprehensive,9.003653361206442
approach,8.163902706454621
approache,9.532178562071834
approached,9.655557583232339
approaching,9.430395867761892
appropriate,7.418723867801074
appropriately,8.952360066818892
approval,8.530365656759518
approve,8.605230535723692
approved,7.887649329826464
approx,8.020195985788448
approximate,9.625704620082658
approximately,7.203160212009633
apricot,7.29413199021536
april,7.913851702220488
apso,9.675966454863547
